code,name,level
3108004002,Inland Freight Water Transportation,Activity
3108004003,Port Operator,Activity
3108004004,Ocean Freight Transportation,Activity
3108004005,Ocean Passenger Transportation,Activity
3108004006,Activities Incidental to Marine Transportation,Activity
3108004007,Sea and Coastal Passenger Water Transport,Activity
3108004008,Sea and Coastal Freight Water Transport,Activity
3108005001,Freight Transport Services by Road,Activity
31080050,Trucking,Industry
3108006001,Postal and Courier Activities,Activity
31080060,Integrated Freight & Logistics,Industry
3108006002,Logistics Support Activities,Activity
3109001001,Collection and Transport of Non-Hazardous Waste in Source Segregated Fraction...,Activity
31090010,Waste Management,Industry
3109001002,Anaerobic Digestion of Bio-Waste,Activity
3109001003,Composting of Bio-Waste,Activity
3109001004,Material Recovery from Non-Hazardous Waste,Activity
3109001005,Landfill Gas Capture and Utilization,Activity
3109001006,Anaerobic Digestion of Sewage Sludge,Activity
3109001007,"Collection, Treatment and Disposal of Hazardous Waste",Activity
3111001001,"Data Processing, Hosting and Related Activities",Activity
31110010,Information Technology Services,Industry
3111001002,Data-driven Solutions for GHG Emission Reduction,Activity
3111001003,Information Technology Consulting and Outsourcing Services,Activity
3111001099,Other Information Technology Services,Activity
3111002001,Financial Software,Activity
31110020,Software - Application,Industry
3111002002,Communication and Entertainment Software,Activity
3111002003,Education Software,Activity
3111002004,Social Platform Software,Activity
3111002005,Business Productivity and Efficiency Software,Activity
3111003001,Computer Security Software,Activity
31110030,Software - Infrastructure,Industry
3111003002,Operating System Software,Activity
3111003003,"Website Designers, Developers, and Operators",Activity
3111003004,Automation and Workflow Software,Activity
3111003005,Database Software,Activity
3111003006,Payment and Transaction Services,Activity
3111003099,Other Software Services,Activity
3112001001,Communication Equipment Manufacturer,Activity
31120010,Communication Equipment,Industry
3112001002,Fiberoptic Cable Manufacturer,Activity
3112002001,Computer Hardware,Activity
31120020,Computer Hardware,Industry
3112003001,Consumer Electronics,Activity
31120030,Consumer Electronics,Industry
3112004001,Electronics Component Manufacturer,Activity
31120040,Electronic Components,Industry
3112004002,Printed Circuit Board Manufacturer,Activity
3112005001,Electronic Equipment Distributor,Activity
31120050,Electronics & Computer Distribution,Industry
3112005002,Computer and Related Peripheral Distributor,Activity
3112006001,Scientific & Technical Instruments,Activity
31120060,Scientific & Technical Instruments,Industry
3113001001,Semiconductor Equipment & Materials,Activity
31130010,Semiconductor Equipment & Materials,Industry
3113002001,Semiconductor Manufacturer,Activity
31130020,Semiconductors,Industry
3113002002,Semiconductor Memory Manufacturer,Activity
3113003001,Solar,Activity
31130030,Solar,Industry
